Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6063800
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 11263021
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 18870573
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 24802195
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 入金画面, 42723453
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 50, 52111978
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 55167652
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 60094000
