Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 4894997
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 9080710
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 14626378
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 18967810
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: TOPへ戻る, 40292258
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 53362177
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 入金画面, 79202470
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 84544393
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 94730011
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 97640956
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 101427276
