Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 8576536
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 15610469
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 20298401
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 26677812
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 38817822
helloworld.DonburiMenu2, Text: 無題ページ, System.Windows.Forms.Button, Text: 前のページ, 47289189
helloworld.DonburiMenu2, Text: 無題ページ, System.Windows.Forms.Button, Text: 前のページ, 62615457
helloworld.DonburiMenu2, Text: 無題ページ, System.Windows.Forms.Button, Text: 前のページ, 68397101
