Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 5101778
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 10696053
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 14291742
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 19438841
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 28879950
helloworld.DonburiMenu2, Text: 無題ページ, System.Windows.Forms.Button, Text: 前のページ, 36439598
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 42777033
helloworld.DonburiMenu2, Text: 無題ページ, System.Windows.Forms.Button, Text: 前のページ, 47597787
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 51609878
helloworld.DonburiMenu2, Text: 無題ページ, System.Windows.Forms.Button, Text: 前のページ, 59892197
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 68716076
