Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 17193703
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 29235894
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 34245339
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: びっくりラーメン, 242478628
helloworld.Meal, Text: 品名の確認, System.Windows.Forms.Button, Text: びっくりラーメン, 254207996
helloworld.Notax, Text: 価格の確認, System.Windows.Forms.Button, Text: 381円, 281528314
helloworld.Tax, Text: 現在の税率は8％, System.Windows.Forms.Button, Text: 400円, 294044900
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 終了する, 310464677
