Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6806663
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 18105833
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 21698803
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 丼・カレー, 29574522
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 52032883
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 57127020
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 60701421
helloworld.DonburiMenu, Text: 無題ページ, System.Windows.Forms.Button, Text: 次のページ, 62609070
