Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 11210134
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 21241470
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 32119272
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 言語を選ぶ, 70520499
helloworld.Gengo, Text: Gengo sentaku/セレクトランゲッジ, System.Windows.Forms.Button, Text: Japanese, 84175796
helloworld.Gengo, Text: Gengo sentaku/セレクトランゲッジ, System.Windows.Forms.Button, Text: RETURN, 118434210
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: 戻る, 166676914
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 購入をやめる, 178446170
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 終了する, 187926030
